methods_section,sequence,archive_filename,role,historical_source,sha256,purpose
2.2,01,data_preparation/m2_01_run_lincs_preprocessing_pipeline.py,entry point,bio/preprocess/wrapper.py,d8c4f6a3e113426b8b6ccccb204b897d6744ada4b98d3c3634430b61c897b77d,"Orchestrate LINCS loading, embedding, merging, quality control, DMSO alignment, replicate aggregation, and joining."
2.2,02,data_preparation/m2_02_load_lincs_level3_profiles.py,pipeline stage,bio/preprocess/load.py,19991980a6185031ae6579da087fc01a165d810a911655e9bae71a511da2ccda,Load LINCS Level 3 profiles and metadata.
2.2,03,data_preparation/m2_03_compute_auxiliary_lincs_embeddings.py,pipeline stage,bio/preprocess/embed.py,7a1b0db547b67fe311671dbc3c42a434df96a374f13b0386bfe080b5f206c6bf,Compute auxiliary embeddings used by the preprocessing pipeline; these were not Stage 2 predictive features.
2.2,04,data_preparation/m2_04_merge_lincs_batches.py,pipeline stage,bio/preprocess/merge.py,0749784866fe2939138cd0e8b39f3a5674b3cbcb05236addce7f02ba687bad73,Merge processed LINCS batches while controlling memory use.
2.2,05,data_preparation/m2_05_filter_lincs_profiles.py,pipeline stage,bio/preprocess/filter.py,e29e87d9bb04af129a3f7a47ad79ae4c682d2bbad3cd0ce51d676d6d23cade86,Apply treatment-replicate and control-profile quality-control filters.
2.2,06,data_preparation/m2_06_align_to_plate_dmso_controls.py,pipeline stage,bio/preprocess/align.py,3aeec215c9d4069f24533db45fee21c1ebb654bb7d08188dccfe9c116d443ed3,Reference treated profiles to plate-matched DMSO controls.
2.2,07,data_preparation/m2_07_aggregate_lincs_replicates.py,pipeline stage,bio/preprocess/aggregate.py,7a0c8e98d36106dd4357156cdd5640ea9af1032f0c42020cf85800b5c9cebea8,"Aggregate profiles sharing compound, cell line, and exposure context."
2.2,08,data_preparation/m2_08_join_extended_lincs_profiles.py,pipeline stage,bio/preprocess/join_ext.py,a856c208b17a1a43e7556bf8a6edabd39d2f7bc2af8721de1ba4bd50b4c74f96,Join extended LINCS profile outputs produced by the pipeline.
2.2,09,data_preparation/m2_09_guard_preprocessing_memory.py,supporting module,bio/preprocess/memory_guard.py,9c393f5f169f02279d1ce1d336140c1f155316f83e0a05fab3ad157fc27542be,Provide memory guards used by LINCS preprocessing stages.
2.2,10,data_preparation/m2_10_build_matched_cohort_and_scaffold_split.py,entry point,backup/build_matched_cohort.py,bd626bd5a4908304513fc2cda4020b08fb913073b225ce300c80e3e0b0694a10,Standardize and match Tox21-LINCS compounds; assign chirality-aware scaffolds; exclude LINCS-overlapping scaffolds; create the 1039/346/347 development split.
2.2,11,data_preparation/m2_11_build_landmark_gene_features.py,entry point,backup/build_gene_features.py,cb93aca88dde8e5c8f03e70b43c977cb522b7ffb3c2f399cb4bf0175c2a31e89,Construct the 978-landmark-gene unadjusted and fixed CEVIChE-projected feature representations.
2.2,12,data_preparation/m2_12_prepare_paired_timepoint_contexts.py,entry point,backup/prepare_paired_timepoint_inputs_v1.py,df86deb39365113572467c0e2451f9be897a04c40018df0f9b4b874fac074f95,Construct paired 6-h and 24-h cohorts with identical compounds and scaffold assignments.
2.3,01,model_specification/m3_01_fit_endpoint_specific_molecular_candidates.py,entry point,backup/chem_stage1_per_task_offset.py,f8fb1288855866bc719ee106e249bf10862bca4c8f3af3ea71b594ab07a4721d,Fit the twelve prespecified endpoint-specific molecular candidate configurations.
2.3,02,model_specification/m3_02_select_topk_molecular_ensemble.py,entry point,backup/plot_topk_ensemble_publication.py,d3dfc270062f6251a2224f2ca52322bfca87f51e799f73ab369ed33673ba3211,Rank held-out candidate predictions and evaluate equal-weight top-K ensembles for K=1 through 12.
2.3,03,model_specification/m3_03_deploy_frozen_k4_ensemble.py,entry point,backup/deploy_stage1_k4_mean.py,3d40095cd0b9249e3eaa7edd72e5d4b510410a331112d5c1532fd24d5571ca41,Deploy the frozen endpoint-specific equal-weight top-four molecular ensemble.
2.3,04,model_specification/m3_04_optimize_offset_ridge_lbfgs.py,supporting module,backup/offset_ridge_lbfgs.py,01b39cac69b85edbb0ac5921db498b7c31921bed91f5346db55f8e0881c3f312,Optimize the fixed-offset L2-penalized Bernoulli residual model using L-BFGS.
2.3,05,model_specification/m3_05_fit_calibrated_nested_cv_fold.py,supporting module,backup/nested_cv_offset_logistic_calibrated_v2.py,a71dc479d4ea2ab34cad21f2e8089892d001c5ebc47dea1fe0f3720a72944b01,Fit fold-restricted recalibration and tune the ridge penalty by grouped inner cross-validation.
2.3,06,model_specification/m3_06_repeat_nested_scaffold_cv.py,supporting module,backup/nested_cv_offset_logistic_calibrated_repeated_v1.py,8347fb96eaea36e224b2059529a3fcbcedd2fb2cd1111c0835d4c9000e6ddfb2,Generate and validate repeated scaffold-grouped outer folds without duplicate partitions.
2.3,07,model_specification/m3_07_run_primary_20x5_analysis.py,entry point,backup/run_repeated_calibrated_pipeline_v1.py,684d28e65e4abeb51f3b11dcfc9cb288c8764e438b78218b562883d9cd44fbf6,Run the primary 20-repetition by five-fold calibrated residual-model analysis.
2.3,08,model_specification/m3_08_run_paired_timepoint_20x5_analysis.py,entry point,backup/run_repeated_calibrated_timepoint_innerseed_v3.py,8a7e78367f8211132ddadee0021a2b959a8507384b366c0a2e9da923d9413020,Run the paired-timepoint repeated analysis with fixed inner-fold seed handling.
2.3,09,model_specification/m3_09_paired_timepoint_runner_base.py,supporting module,backup/run_repeated_calibrated_timepoint_v1.py,69789669f2b9f2c25d5df16c3d32a8f889c39b174422feaeb4fbbfe9b7e554f4,Provide the base paired-timepoint orchestration used by the final runner.
2.3,10,model_specification/m3_10_summarize_repeated_cv.py,entry point,backup/summarize_repeated_cv_publication_v1.py,c8f72c15cb201a91cd1a743f097740ab7228569876e1ae406e22d5e843541c6e,Validate and summarize repeated outer-fold predictions and performance.
2.3,11,model_specification/m3_11_nadeau_bengio_corrected_test.py,supporting module,backup/nadeau_bengio_test.py,da6c1c6925e2873b2c0a878fbb1895ec06b727eb0c5bb125c4613828db1d2da0,Implement the Nadeau-Bengio corrected resampled paired t-test.
2.3,12,model_specification/m3_12_repeated_cv_inference.py,supporting module,backup/repeated_cv_inference.py,0238613e7f4325c38cb276dbf33c01e7c10f0aa4870ec0ab45b3a049652ccb08,Apply paired repeated-CV inference to endpoint-context performance differences.
2.3,13,model_specification/m3_13_aggregate_offset_statistics.py,supporting module,backup/aggregate_offset_logistic.py,4587052fc1ae0a68f836bc6ba3d8a3fcd29bacd5db3ba64d2b6dd82a677d9154,Aggregate offset-model statistics and multiple-testing summaries.
2.3,14,model_specification/m3_14_shared_stage2_utilities.py,supporting module,backup/utils.py,2695e1228ddf6c6fb7e8cde5b0a33e4fda028a84f9042639bad4059f207d3786,"Provide shared scaffold splitting, standardization, and deviance utilities."
2.3,15,model_specification/m3_15_run_calibration_offset_sensitivity.py,entry point,backup/run_stage2_calibration_ridge_ablation_v1.py,52762fdb19f48f7b41dd3a1ea612023ebf8f58a8a8575d45e182db4a8c88f685,Compare recalibrated and unrecalibrated molecular offsets and their transcriptomic residual models.
2.3,16,model_specification/m3_16_optimize_fixed_offset_ridge.py,supporting module,backup/offset_ridge_fixed_v1.py,18ee3ce0e9f6068d883261c18e402cef76b84dda27f5dfd5a8ab80714b6d0c5e,Fit the fixed-offset ridge models required by the calibration sensitivity analysis.
2.4,01,posthoc_analysis/m4_01_compute_compound_rescue_summaries.py,entry point,backup/analyze_transcriptomic_rescue_chemical_properties_k4_residual_logit_v3.py,e0b2e025073d6938bf16a7aa06a6796b54d296ce71bb9d98e9eedca6e9a8995c,"Compute active-compound probability uplift, consensus rescue, stable rescue, and molecular property summaries from repeated held-out predictions."
2.4,02,posthoc_analysis/m4_02_shared_scaffold_and_rescue_utilities.py,supporting module,backup/analyze_residual_compound_scaffolds_v1.py,ecfdc2214ef202b0b27535e7fc7babcc0f783bc1e5545ce4c5e2d9d00ed4d4f7,"Provide consensus prediction, rescue classification, scaffold, and RDKit property utilities."
2.4,03,posthoc_analysis/m4_03_build_structure_pathway_atlas.py,entry point,backup/build_publication_structural_pathway_atlas_final_v43.py,bafbbe58e65d2ba2df8e4ba8e1e7ac7e88ad0c1c13ca9e3dad971b7b6ae5dc12,Render rescued compound structures and perform weighted preranked Hallmark enrichment with 10000 size-matched permutations and within-endpoint BH correction.
